연도,항공사,운항횟수,지연횟수,지연율
2016,대한항공,53342,7144,13.39
2016,아시아나항공,35510,7285,20.52
2016,에어부산,23049,4211,18.27
2016,에어서울,637,161,25.27
2016,이스타항공,15856,3438,21.68
2016,제주항공,25430,4882,19.2
2016,진에어,18864,5084,26.95
2016,티웨이항공,15605,2893,18.54
2017,대한항공,109692,11116,10.13
2017,아시아나항공,71586,8216,11.48
2017,에어부산,49282,6180,12.54
2017,이스타항공,35190,3831,10.89
2017,제주항공,49580,6702,13.52
2017,진에어,38058,5990,15.74
2017,티웨이항공,32984,4299,13.03
2018,대한항공,107690,11190,10.39
2018,아시아나항공,68280,9257,13.56
2018,에어부산,53284,6129,11.5
2018,이스타항공,32936,5625,17.08
2018,제주항공,50162,7936,15.82
2018,진에어,37434,6040,16.14
2018,티웨이항공,32484,5234,16.11
2019,대한항공,105552,7524,7.1
2019,아시아나항공,67960,8858,13
2019,에어부산,52810,4086,7.7
2019,에어서울,888,323,36.4
2019,이스타항공,33234,5755,17.3
2019,제주항공,50972,7271,14.3
2019,진에어,36896,5582,15.1
2019,티웨이항공,33086,5105,15.4
2020,대한항공,62358,2047,3.28
2020,아시아나항공,58236,2816,4.84
2020,에어부산,43054,1445,3.36
2020,에어서울,5000,501,10.02
2020,이스타항공,6574,611,9.29
2020,제주항공,46960,1865,3.97
2020,진에어,39926,2191,5.49
2020,티웨이항공,33606,1766,5.26
