"","연도","공항","국내선D..국제선I","운항","정상운항","기상","도착안개당해","도착안개상대","도착강설당해","도착강설상대","도착강우당해","도착강우상대","도착기타당해","도착기타상대","도착기상당해","도착기상상대","출발안개당해","출발안개상대","출발강설당해","출발강설상대","출발강우당해","출발강우상대","출발기타당해","출발기타상대","출발기상당해","출발기상상대"
"3",2011,"CJU","D",102844,96386,423,155,109,19,1,0,5,37,10,211,125,27,42,7,3,0,1,5,2,39,48
"4",2011,"CJU","I",4877,4713,19,6,5,1,0,0,0,5,2,12,7,0,0,0,0,0,0,0,0,0,0
"5",2011,"GMP","D",104159,99639,291,20,25,0,4,1,0,0,4,21,33,89,119,0,10,5,0,0,14,94,143
"6",2011,"GMP","I",18772,18525,28,0,2,0,1,1,3,0,6,1,12,11,1,0,0,0,0,0,3,11,4
"23",2012,"CJU","D",105546,99625,297,52,57,7,10,3,2,62,14,124,83,18,27,3,15,4,2,11,10,36,54
"24",2012,"CJU","I",6519,6207,41,2,4,1,0,0,4,15,7,18,15,1,0,1,0,0,0,5,1,7,1
"25",2012,"GMP","D",103187,99399,145,5,14,0,2,0,0,0,3,5,19,35,50,0,0,3,0,12,21,50,71
"26",2012,"GMP","I",21404,21085,31,0,3,0,0,0,4,5,7,5,14,0,4,0,0,0,0,3,5,3,9
"43",2013,"CJU","D",113028,104858,351,41,99,0,4,0,3,96,9,137,115,14,39,0,0,10,0,34,2,58,41
"44",2013,"CJU","I",7865,7553,24,1,11,0,2,0,3,1,1,2,17,0,3,0,0,0,0,0,2,0,5
"45",2013,"GMP","D",108751,103198,245,17,11,0,1,1,0,3,23,21,35,89,52,2,0,3,0,16,27,110,79
"46",2013,"GMP","I",21268,20873,53,1,1,0,5,0,1,1,19,2,26,14,1,0,0,0,0,0,10,14,11
"64",2014,"CJU","D",124498,111893,305,14,134,1,7,0,0,48,7,63,148,2,73,0,2,0,3,6,8,8,86
"65",2014,"CJU","I",13811,12927,67,0,15,0,3,1,9,13,23,14,50,0,0,0,1,0,0,1,1,1,2
"66",2014,"GMP","D",113716,105851,231,19,15,0,0,1,0,8,8,28,23,84,58,0,1,0,0,7,30,91,89
"67",2014,"GMP","I",21125,20726,49,2,1,0,7,0,2,0,3,2,13,17,6,0,2,0,0,1,8,18,16
