"","연도","공항","국내선D..국제선I","운항계획","운항","기상","A.C접속","A.C정비","기타"
"3",2011,"CJU","D",104075,102844,431,649,40,111
"4",2011,"CJU","I",4908,4877,16,14,0,1
"5",2011,"GMP","D",106096,104159,746,913,82,196
"6",2011,"GMP","I",18804,18772,14,12,1,5
"25",2012,"CJU","D",107070,105546,1110,297,71,46
"26",2012,"CJU","I",6563,6519,37,5,1,1
"27",2012,"GMP","D",104982,103187,1062,563,87,83
"28",2012,"GMP","I",21456,21404,35,11,2,4
"47",2013,"CJU","D",113680,113028,343,240,50,19
"48",2013,"CJU","I",7891,7865,10,11,1,4
"49",2013,"GMP","D",109693,108751,459,400,59,24
"50",2013,"GMP","I",21301,21268,17,7,3,6
"70",2014,"CJU","D",125982,124498,974,447,50,13
"71",2014,"CJU","I",13928,13811,88,20,4,5
"72",2014,"GMP","D",115423,113716,1216,411,58,22
"73",2014,"GMP","I",21163,21125,29,1,5,3
"93",2015,"CJU","D",141849,140911,564,229,84,61
"94",2015,"CJU","I",13812,13664,114,18,5,11
"95",2015,"GMP","D",121659,120552,639,302,111,55
"96",2015,"GMP","I",20343,20320,17,1,3,2
"112",2016,"CJU","D",153417,151127,1508,417,89,276
"113",2016,"CJU","I",18543,18250,232,33,7,21
"114",2016,"GMP","D",126309,124177,1309,465,102,256
"115",2016,"GMP","I",20477,20451,13,6,6,1
"130",2020,"GMP","D",117586,116337,1062,105,32,50
"131",2020,"GMP","I",20241,20161,76,0,2,2
"134",2020,"CJU","D",154067,152640,1238,91,19,79
"135",2020,"CJU","I",16787,16519,237,21,2,8
"151",2021,"GMP","D",83058,82242,766,28,9,13
"152",2021,"GMP","I",14,14,0,0,0,0
"155",2021,"CJU","D",96464,95570,850,20,10,14
"156",2021,"CJU","I",58,58,0,0,0,0
