구분,기 종 별,대한항공,아시아나항공,제주항공,진에어,에어부산,이스타항공,티웨이항공,에어서울,에어인천
여객기,B737-800,0,0,44,24,0,7,27,0,0
여객기,B737-900,5,0,0,0,0,0,0,0,0
여객기,B737-900ER,14,0,0,0,0,2,,0,0
여객기,B737-8(MAX),6,0,0,0,0,0,0,0,0
여객기,B747-400,0,3,0,0,0,0,0,0,0
여객기,B767-300,0,5,0,0,0,0,0,0,0
여객기,B777-200,12,0,0,0,0,0,0,0,0
여객기,B777-200ER,0,9,0,4,0,0,0,0,0
여객기,B777-300,4,0,0,0,0,0,0,0,0
여객기,B777-300ER,26,0,0,0,0,0,0,0,0
여객기,B787-9,10,0,0,0,0,0,0,0,0
여객기,B747-8I,10,0,0,0,0,0,0,0,0
여객기,A320-200,0,5,0,0,8,0,0,0,0
여객기,A321-100,0,1,0,0,0,0,0,0,0
여객기,A321-200,0,15,0,0,14,0,0,6,0
여객기,A321-NEO,0,2,0,0,2,0,0,0,0
여객기,A330-200,8,0,0,0,0,0,0,0,0
여객기,A330-300,22,15,0,0,0,0,0,0,0
여객기,A350-900,0,13,0,0,0,0,0,0,0
여객기,A380-800,10,6,0,0,0,0,0,0,0
여객기,A220,10,0,0,0,0,0,0,0,0
