"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","6,890",15,"1,087",11,10,0,9,"1,132"
"8","1월","제주","도착","6,903",27,"326",17,8,0,8,"386"
"9","1월","제주","계","13,793",42,"1,413",28,18,0,17,"1,518"
"46","2월","제주","출발","6,334",12,"1,163",12,8,0,3,"1,198"
"47","2월","제주","도착","6,340",12,"357",19,6,0,35,"429"
"48","2월","제주","계","12,674",24,"1,520",31,14,0,38,"1,627"
"85","3월","제주","출발","6,940",32,"898",18,7,0,2,"957"
"86","3월","제주","도착","6,942",44,"276",7,4,0,3,"334"
"87","3월","제주","계","13,882",76,"1,174",25,11,0,5,"1,291"
"124","4월","제주","출발","7,082",15,"1,274",28,10,0,17,"1,344"
"125","4월","제주","도착","7,076",16,"309",5,3,0,5,"338"
"126","4월","제주","계","14,158",31,"1,583",33,13,0,22,"1,682"
"163","5월","제주","출발","7,386",13,"1,236",14,16,1,6,"1,286"
"164","5월","제주","도착","7,395",16,"311",10,5,3,11,"356"
"165","5월","제주","계","14,781",29,"1,547",24,21,4,17,"1,642"
"202","6월","제주","출발","7,155",10,"1,206",16,13,0,13,"1,258"
"203","6월","제주","도착","7,157",2,"298",16,6,0,23,"345"
"204","6월","제주","계","14,312",12,"1,504",32,19,0,36,"1,603"
"241","7월","제주","출발","7,326",8,"1,779",11,10,0,34,"1,842"
"242","7월","제주","도착","7,346",73,"627",25,6,2,60,"793"
"243","7월","제주","계","14,672",81,"2,406",36,16,2,94,"2,635"
"280","8월","제주","출발","7,528",17,"1,934",14,15,0,28,"2,008"
"281","8월","제주","도착","7,563",48,"666",15,3,0,17,"749"
"282","8월","제주","계","15,091",65,"2,600",29,18,0,45,"2,757"
"319","9월","제주","출발","6,858",47,"1,643",12,11,0,26,"1,739"
"320","9월","제주","도착","6,845",83,"440",6,3,0,23,"555"
"321","9월","제주","계","13,703",130,"2,083",18,14,0,49,"2,294"
"358","10월","제주","출발","7,309",27,"1,712",9,16,1,17,"1,782"
"359","10월","제주","도착","7,300",43,"462",15,4,0,9,"533"
"360","10월","제주","계","14,609",70,"2,174",24,20,1,26,"2,315"
"397","11월","제주","출발","7,181",39,"1,658",22,14,0,17,"1,750"
"398","11월","제주","도착","7,192",28,"431",14,9,0,12,"494"
"399","11월","제주","계","14,373",67,"2,089",36,23,0,29,"2,244"
"439","12월","제주","출발","7,400",45,"1,764",13,11,0,19,"1,852"
"440","12월","제주","도착","7,406",38,"518",13,8,0,15,"592"
"441","12월","제주","계","14,806",83,"2,282",26,19,0,34,"2,444"
